author,name,playVolume,rank,score
夕晖の謊言,异世界死亡轮回，三分钟带你重温Re0的感动瞬间！【Re0系列混剪/圣域篇完结纪念】,18万,21,696816
白木哒哒哒,你 这 狙 击 就 离 谱,39万,22,695693
酒客小丑,无敌的因果律武器！99%的人都搞不懂的究极烧脑替身！【JOJO替身集#14】,29.1万,23,691887
JakeToys,40年沧海桑田！激荡的终极浪漫！PGU元祖高达深度分享 PG UNLEASHED RX-78-2【JakeToys】,19.8万,24,658126
吃素的阿飞,自制《和平精英》低配版,42.6万,25,635694
田子元,【误解/乱入】咒术&忍术交流会（二）,32.7万,26,625390
銀河万丈,1388元假面骑士福袋！那个小伙又回来了！这一次他开出了这些东西···,23.7万,27,617876
哈米伦的弄笛者,【方舟手书】普瑞赛斯的幸福理论,11万,28,578253
丰兄来了,海绵宝宝史上最讽刺权力的一集！派大星的内心深处竟然藏着如此黑暗的秘密！【文盲文】,38.5万,29,553790
朋吉_插画师,大家好，我是菜狗的原画师朋吉，我来b站啦！,30.8万,30,514841
玩偶菌,安兹身份暴漏？！overlord史上伏笔最多的会议？教国竟知晓玩家！【骨头故事绘】,22.3万,31,514825
伊吹小秋,【3D东方】永夜抄 - part 1 预告（灵梦 vs 魔理沙）,15.3万,32,508328
帅脸熊,谁红我就跟谁玩,28万,33,492882
果蝇轰,【原神小剧场】这个如何？,14.1万,34,481214
是方丈哟,“笑死，根本不会领域展开”,38.8万,35,480028
Cat_coco,本视频挑战全站最高画质！无水印！每一帧都是壁纸！,29.2万,36,457404
猫柚君,【原神MMD】爷的大喜,16.3万,37,453452
七海Nana7mi,“不会再让我侄子看你直播了”,33.7万,38,444890
进击的金厂长,后来我再也没去过学校,22.6万,39,411247
洛天lee,【史莱姆科普】35集改动、细节内容全解析，原初之黑为什么服从于萌王？智慧之王其实是腹黑属性？  四十四弹,34.1万,40,410089
一颗糖糖゛,耗时半个月！别眨眼，这大概是你今年看过最爽的视频！！！,14.7万,41,408371
我在吃你,两 只 老 虎 黑 帮 摇,20.3万,42,404833
六畳一間的堂吉诃德,如果原神是日常画风…原神×日常op,18万,43,400972
咲珑总是如此勤勉,“我戴上面具的样子，像极了摘下口罩的你”,13.8万,44,400435
兔鸡是个大聪明,杰尼哥不要！♂,34.4万,45,398129
健人大人,当腾讯代理了坦克大战后会发生什么？,23.8万,46,396529
三十六贱笑,平安京对王总决赛！！！,25.6万,47,386148
帕普莉卡-金,《穿越疯狂之门》——2020 SVA毕设动画短片,12.9万,48,371688
白神遥Haruka,连我家猫都会乳豹说我傻，怎么想都是你们的错！！,16.1万,49,364393
聚猿创团队,当你输液时你的细胞在干什么,32万,50,363520
最上川下山,我总算知道为啥，小南不脱衣服也死掉了。。,24.6万,51,360969
斯塔萌萌哒,vtuber连续死亡事件的背后，是上万网友长达四个月的推理解谜。上集【Project:;COLD】,17.4万,52,352064
丸子叨叨叨,一个人，导致半村居民口喷蝌蚪《伊藤润二：还魂师之剑》,14.1万,53,347029
爪爪餅,【原神MMD】生活不易，风神卖艺【温迪神装·Lamb·改模测试】,8.7万,54,335185
白小纯2019,当你迷茫时，请打开这个视频,11.7万,55,332688
死肥宅东,“我恨透了人类！除了你以外！”,25.4万,56,324924
她整夜在写信,“你才二十几岁，怎么眼里就没有光了呢？”,26.6万,57,317521
普通人田大骏,一位男性在三分钟内听到了这种声音，他的思维这样停止工作的……【打开声音听】PG报丧女妖 命运女神 拼装,24.7万,58,312990
维是思维的维,张哲瀚～我命运般的老婆生产线,9.7万,59,310006
